dist, hand, time, fingPair, participant, group
0.59555,2,1,3,18,1
0.60162,2,1,4,18,1
0.22824,2,1,5,18,1
0.34754,2,1,6,18,1
0.42339,2,1,7,18,1
0.22171,2,1,8,18,1
0.35524,2,1,9,18,1
0.2212,2,1,10,18,1
0.68557,2,1,1,19,1
0.81221,2,1,2,19,1
0.97585,2,1,3,19,1
0.95263,2,1,4,19,1
0.48139,2,1,5,19,1
0.75227,2,1,6,19,1
0.77959,2,1,7,19,1
0.38449,2,1,8,19,1
0.56268,2,1,9,19,1
0.3239,2,1,10,19,1
0.51105,2,1,1,20,1
0.63083,2,1,2,20,1
0.77253,2,1,3,20,1
0.65944,2,1,4,20,1
0.31023,2,1,5,20,1
0.52031,2,1,6,20,1
0.5317,2,1,7,20,1
0.38099,2,1,8,20,1
0.4834,2,1,9,20,1
0.27021,2,1,10,20,1
0.24344,2,2,1,1,1
0.26867,2,2,2,1,1
0.33247,2,2,3,1,1
0.34314,2,2,4,1,1
0.15269,2,2,5,1,1
0.23731,2,2,6,1,1
0.27965,2,2,7,1,1
0.19257,2,2,8,1,1
0.27584,2,2,9,1,1
0.1435,2,2,10,1,1
0.50916,2,2,1,2,1
0.49316,2,2,2,2,1
0.55949,2,2,3,2,1
0.48374,2,2,4,2,1
0.34835,2,2,5,2,1
0.4828,2,2,6,2,1
0.49257,2,2,7,2,1
0.31722,2,2,8,2,1
0.38169,2,2,9,2,1
0.29074,2,2,10,2,1
0.2104,2,2,1,3,1
0.27665,2,2,2,3,1
0.30356,2,2,3,3,1
0.29383,2,2,4,3,1
0.085418,2,2,5,3,1
0.18192,2,2,6,3,1
0.20057,2,2,7,3,1
0.11256,2,2,8,3,1
0.17981,2,2,9,3,1
0.058324,2,2,10,3,1
0.48561,2,2,1,4,1
0.56274,2,2,2,4,1
0.624,2,2,3,4,1
0.56864,2,2,4,4,1
0.351,2,2,5,4,1
0.53893,2,2,6,4,1
0.50624,2,2,7,4,1
0.32444,2,2,8,4,1
0.41978,2,2,9,4,1
0.21579,2,2,10,4,1
0.56237,2,2,1,5,1
0.63992,2,2,2,5,1
0.70336,2,2,3,5,1
0.59986,2,2,4,5,1
0.27546,2,2,5,5,1
0.47745,2,2,6,5,1
0.45763,2,2,7,5,1
0.26798,2,2,8,5,1
0.38819,2,2,9,5,1
0.29383,2,2,10,5,1
0.31513,2,2,1,6,1
0.39131,2,2,2,6,1
0.45003,2,2,3,6,1
0.38692,2,2,4,6,1
0.19784,2,2,5,6,1
0.31897,2,2,6,6,1
0.30965,2,2,7,6,1
0.21937,2,2,8,6,1
0.26048,2,2,9,6,1
0.15414,2,2,10,6,1
0.45136,2,2,1,7,1
0.46698,2,2,2,7,1
0.5761,2,2,3,7,1
0.43232,2,2,4,7,1
0.19686,2,2,5,7,1
0.41621,2,2,6,7,1
0.38211,2,2,7,7,1
0.27846,2,2,8,7,1
0.27696,2,2,9,7,1
0.2531,2,2,10,7,1
0.40568,2,2,1,8,1
0.49595,2,2,2,8,1
0.60801,2,2,3,8,1
0.61594,2,2,4,8,1
0.29357,2,2,5,8,1
0.44362,2,2,6,8,1
0.45837,2,2,7,8,1
0.27044,2,2,8,8,1
0.40206,2,2,9,8,1
0.27169,2,2,10,8,1
0.40625,2,2,1,9,1
0.48578,2,2,2,9,1
0.58769,2,2,3,9,1
0.44459,2,2,4,9,1
0.19087,2,2,5,9,1
0.35955,2,2,6,9,1
0.32404,2,2,7,9,1
0.23775,2,2,8,9,1
0.27899,2,2,9,9,1
0.18987,2,2,10,9,1
0.36408,2,2,1,10,1
0.43573,2,2,2,10,1
0.51366,2,2,3,10,1
0.46682,2,2,4,10,1
0.18767,2,2,5,10,1
0.32012,2,2,6,10,1
0.36045,2,2,7,10,1
0.19837,2,2,8,10,1
0.29947,2,2,9,10,1
0.17038,2,2,10,10,1
0.37563,2,2,1,11,1
0.40019,2,2,2,11,1
0.46503,2,2,3,11,1
0.41758,2,2,4,11,1
0.21011,2,2,5,11,1
0.34951,2,2,6,11,1
0.42514,2,2,7,11,1
0.15051,2,2,8,11,1
0.30907,2,2,9,11,1
0.22613,2,2,10,11,1
0.40309,2,2,1,12,1
0.5812,2,2,2,12,1
0.54407,2,2,3,12,1
0.53672,2,2,4,12,1
0.31642,2,2,5,12,1
0.34928,2,2,6,12,1
0.37621,2,2,7,12,1
0.235,2,2,8,12,1
0.35406,2,2,9,12,1
0.21594,2,2,10,12,1
0.30609,2,2,1,13,1
0.46183,2,2,2,13,1
0.45748,2,2,3,13,1
0.42463,2,2,4,13,1
0.21236,2,2,5,13,1
0.29737,2,2,6,13,1
0.33439,2,2,7,13,1
0.16279,2,2,8,13,1
0.28192,2,2,9,13,1
0.16359,2,2,10,13,1
0.4131,2,2,1,14,1
0.5093,2,2,2,14,1
0.58086,2,2,3,14,1
0.62566,2,2,4,14,1
0.27213,2,2,5,14,1
0.40632,2,2,6,14,1
0.47335,2,2,7,14,1
0.35137,2,2,8,14,1
0.47051,2,2,9,14,1
0.32084,2,2,10,14,1
0.32179,2,2,1,15,1
0.42036,2,2,2,15,1
0.51421,2,2,3,15,1
0.44919,2,2,4,15,1
0.28591,2,2,5,15,1
0.43125,2,2,6,15,1
0.43632,2,2,7,15,1
0.31788,2,2,8,15,1
0.41938,2,2,9,15,1
0.26747,2,2,10,15,1
0.31255,2,2,1,16,1
0.3272,2,2,2,16,1
0.38133,2,2,3,16,1
0.34719,2,2,4,16,1
0.12076,2,2,5,16,1
0.23556,2,2,6,16,1
0.24792,2,2,7,16,1
0.13436,2,2,8,16,1
0.16036,2,2,9,16,1
0.13786,2,2,10,16,1
0.3284,2,2,1,17,1
0.47087,2,2,2,17,1
0.51792,2,2,3,17,1
0.43081,2,2,4,17,1
0.25033,2,2,5,17,1
0.37652,2,2,6,17,1
0.34858,2,2,7,17,1
0.22045,2,2,8,17,1
0.31746,2,2,9,17,1
0.18922,2,2,10,17,1
0.34982,2,2,1,18,1
0.38242,2,2,2,18,1
0.49263,2,2,3,18,1
0.49052,2,2,4,18,1
0.19449,2,2,5,18,1
0.31618,2,2,6,18,1
0.38828,2,2,7,18,1
0.2235,2,2,8,18,1
0.346,2,2,9,18,1
0.18968,2,2,10,18,1
0.61417,2,2,1,19,1
0.66019,2,2,2,19,1
0.74913,2,2,3,19,1
0.70201,2,2,4,19,1
0.41499,2,2,5,19,1
0.63756,2,2,6,19,1
0.67104,2,2,7,19,1
0.31797,2,2,8,19,1
0.45471,2,2,9,19,1
0.2377,2,2,10,19,1
0.50118,2,2,1,20,1
0.62637,2,2,2,20,1
0.71116,2,2,3,20,1
0.6251,2,2,4,20,1
0.30019,2,2,5,20,1
0.48293,2,2,6,20,1
0.4857,2,2,7,20,1
0.30428,2,2,8,20,1
0.41522,2,2,9,20,1
0.27241,2,2,10,20,1
